60
Atomic Positions in Angstrom
 C  0.00152       -1.21399       -3.31009
 C -1.15770       -0.37173       -3.31014
 C  1.16077       -0.37177       -3.31005
 C -0.71488        0.99103       -3.31014
 C  0.71801        0.99100       -3.31009
 C  0.00147       -2.42219       -2.56336
 C -2.30682       -0.74505       -2.56347
 C  2.30982       -0.74514       -2.56329
 C -1.42506        1.96852       -2.56347
 C  1.42817        1.96846       -2.56335
 C -1.15781       -2.79882       -1.81008
 C  1.16067       -2.79886       -1.80999
 C -2.30687       -1.96394       -1.81013
 C  2.30976       -1.96403       -1.80995
 C -3.02327        0.24108       -1.81019
 C  3.02626        0.24096       -1.80995
 C -2.58434        1.59189       -1.81019
 C  2.58737        1.59179       -1.80998
 C -0.70862        2.95462       -1.81013
 C  0.71172        2.95459       -1.81008
 C -0.71508       -3.40826       -0.59116
 C  0.71782       -3.40829       -0.59110
 C -3.02336       -1.73112       -0.59127
 C  3.02617       -1.73124       -0.59103
 C -3.46612       -0.36835       -0.59130
 C  3.46899       -0.36848       -0.59103
 C -2.58437        2.34523       -0.59130
 C  2.58735        2.34513       -0.59110
 C -1.42511        3.18744       -0.59127
 C  1.42812        3.18738       -0.59116
 C -1.42529       -3.17748        0.61702
 C  1.42795       -3.17754        0.61713
 C -2.58451       -2.33522        0.61697
 C  2.58721       -2.33532        0.61717
 C -3.46615        0.37839        0.61690
 C  3.46896        0.37825        0.61717
 C -3.02334        1.74114        0.61690
 C  3.02620        1.74103        0.61714
 C -0.71498        3.41819        0.61697
 C  0.71791        3.41816        0.61703
 C -0.70888       -2.94469        1.83594
 C  0.71146       -2.94472        1.83600
 C -2.58454       -1.58189        1.83585
 C  2.58717       -1.58199        1.83605
 C -3.02342       -0.23105        1.83582
 C  3.02611       -0.23117        1.83606
 C -2.30693        1.97393        1.83582
 C  2.30971        1.97384        1.83600
 C -1.15783        2.80876        1.83585
 C  1.16065        2.80872        1.83594
 C -1.42534       -1.95856        2.58922
 C  1.42790       -1.95861        2.58933
 C -2.30698        0.75505        2.58915
 C  2.30966        0.75496        2.58934
 C  0.00137        2.43209        2.58922
 C -0.71518       -0.98110        3.33595
 C  0.71772       -0.98113        3.33601
 C -1.15794        0.38168        3.33592
 C  1.16054        0.38163        3.33601
 C  0.00132        1.22389        3.33595
